Number,Gender,GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress
1492,male,Marcus,Camden,"105 Grace Street","St Heliers",1071,MarcusCamden@gustr.com
1493,male,Tyler,Glassey,"192 Taylor Street","Wanganui Central",4500,TylerGlassey@superrito.com
1494,male,Aidan,Wilks,"56 Brougham Street","Nelson Central",7010,AidanWilks@cuvox.de
1495,female,Alicia,Throsby,"217 Rutland Way",Wadestown,6012,AliciaThrosby@cuvox.de
1496,male,Finn,Gowlland,"198 Travis Street",Waiohiki,4112,FinnGowlland@teleworm.us
1497,female,Madison,Reimann,"151 Tyne Street","Seaward Bush",9812,MadisonReimann@fleckens.hu
1498,female,Leah,Farran-Ridge,"200 Penzance Street",Wakapuaka,7010,LeahFarran-Ridge@cuvox.de
1499,female,Erin,Sheean,"147 Lucknow Terrace",Awatoto,4110,ErinSheean@armyspy.com
1500,female,Imogen,Heymann,"236 House Avenue","Mangere South",2022,ImogenHeymann@teleworm.us
1501,male,Aidan,Stang,"95 Boylan Street",Ponsonby,1011,AidanStang@rhyta.com
1502,male,Beau,Sawtell,"45 Centre Walk","Totara Park",5018,BeauSawtell@jourrapide.com
1503,female,Matilda,Windich,"172 Hay Street","Trentham Military Camp",5018,MatildaWindich@rhyta.com
1504,male,Samuel,Holyman,"147 Rudyard Crescent",Johnsonville,6037,SamuelHolyman@rhyta.com
1505,female,Natasha,Roseby,"217 Thornlea Drive",Greerton,3112,NatashaRoseby@armyspy.com
1506,female,Annabelle,Kaylock,"21 Rodney Street",Strathern,9812,AnnabelleKaylock@teleworm.us
1507,male,Charles,Aston,"22 Spencer Road",Quailburn,9412,CharlesAston@superrito.com
1508,male,Zane,Budd,"104 Cornford Place","Te Awa",4110,ZaneBudd@fleckens.hu
1509,male,Callum,Salmon,"224 Patutu Grove",Akatarawa,5018,CallumSalmon@rhyta.com
1510,female,Madeline,Ligertwood,"128 Karoro Place","Ranui Heights",5024,MadelineLigertwood@teleworm.us
1511,male,Dylan,Tierney,"193 Spey Street","Invercargill Airport",9810,DylanTierney@cuvox.de
1512,male,Tristan,Tomkinson,"193 Maple Place",Okoia,4500,TristanTomkinson@teleworm.us
1513,male,Bailey,Chute,"20 Buller Street",Waikawa,7220,BaileyChute@gustr.com
1514,female,Amelia,Bradfield,"84 Harbour Street",Foxton,4814,AmeliaBradfield@superrito.com
1515,male,Ethan,Isaacs,"237 Lowther Street",Otamatea,4500,EthanIsaacs@rhyta.com
1516,male,Joseph,"De Hamel","158 McIntyres Avenue","Mt Victoria",6011,JosephDeHamel@cuvox.de
1517,female,Alana,Haines,"189 Yarrow Lane",Papakura,2110,AlanaHaines@einrot.com
1518,female,Brooke,Louise,"134 Castlewold Place",Huntingdon,3210,BrookeLouise@rhyta.com
1519,male,Jonathan,Yewen,"13 Kirton Drive","Trentham Military Camp",5018,JonathanYewen@fleckens.hu
1520,female,Erin,Hansen,"248 Margrain Close",Chedworth,3210,ErinHansen@cuvox.de
1521,female,Eva,Macquarie,"110 Henry Charles Terrace",Pandora,4110,EvaMacquarie@jourrapide.com
1522,female,Angelina,Catani,"184 Riverside Drive Central",Normandale,5010,AngelinaCatani@einrot.com
1523,male,Alex,Mowll,"169 Chaucer Road South",Pandora,4110,AlexMowll@dayrep.com
1524,female,Brianna,Gyles,"84 Murch Place",Otamatea,4500,BriannaGyles@rhyta.com
1525,male,Austin,"Huon De Kermadec","71 Ardilea Avenue","Nelson Airport",7011,AustinHuonDeKermadec@gustr.com
1526,female,Alice,Warfe,"233 McClymonts Road",Rosedale,0632,AliceWarfe@armyspy.com
1527,male,Dylan,Schonell,"227 Magee Place",Puketaha,3210,DylanSchonell@superrito.com
1528,male,Jackson,Cox,"97 Empire Rose Drive","Forest Lake",3200,JacksonCox@dayrep.com
1529,female,Gemma,Danks,"224 Honeysuckle Grove","Lower Hutt Central",5010,GemmaDanks@teleworm.us
1530,male,Zane,Dodery,"137 Grosvenor Place","North Huntingdon",3210,ZaneDodery@fleckens.hu
1531,male,Charlie,Hoff,"152 Kauri Place","Bridge Pa",4120,CharlieHoff@superrito.com
1532,male,Declan,Babbidge,"229 Mill Street",Whakarewarewa,3010,DeclanBabbidge@gustr.com
1533,female,Katie,Finnan,"134 Holland Crescent",Kawerau,3127,KatieFinnan@fleckens.hu
1534,female,Bethany,Nibbi,"43 Lower Tarewa Road","Port Whangarei",0110,BethanyNibbi@gustr.com
1535,male,Aiden,Joris,"126 Ludlow Place",Marshland,8083,AidenJoris@jourrapide.com
1536,female,Phoebe,Pillinger,"209 MacAndrew Road",Caversham,9012,PhoebePillinger@superrito.com
1537,male,Tyler,Milford,"162 Manuka Place",Morningside,0110,TylerMilford@fleckens.hu
1538,male,Sean,Auld,"73 Kaimata Street","Whalers Gate",4310,SeanAuld@dayrep.com
1539,female,Isla,Loche,"171 Sandford Street","Rothesay Bay",0630,IslaLoche@fleckens.hu
1540,female,Leah,Riordan,"208 Pretoria Road","Strathmore Park",6022,LeahRiordan@fleckens.hu
1541,male,Jett,Cassell,"107 Runnell Street","Freemans Bay",1011,JettCassell@gustr.com
1542,female,Dakota,Wakehurst,"210 Gaudin Street",Miramar,6022,DakotaWakehurst@superrito.com
1543,male,Dylan,Templeton,"50 Hulme Place","Kawaha Point",3010,DylanTempleton@rhyta.com
1544,female,Natalie,Loftus-Hills,"135 Mahoe Street",Wakapuaka,7010,NatalieLoftus-Hills@cuvox.de
1545,female,Lola,Mondalmi,"128 Livingstone Street",Seaview,7810,LolaMondalmi@jourrapide.com
1546,male,Joseph,Michaelis,"114 Wynand Place",Templeton,8042,JosephMichaelis@fleckens.hu
1547,female,Molly,Barkman,"25 Tolcarne Avenue",Normanby,9010,MollyBarkman@teleworm.us
1548,male,Spencer,Herlitz,"88 Elginshire Street",Watlington,7910,SpencerHerlitz@rhyta.com
1549,male,Jai,Crowther,"107 Blackmore Street","Lower Vogeltown",4310,JaiCrowther@fleckens.hu
1550,male,Jordan,Eumarrah,"49 Verbena Road","Beach Haven",0626,JordanEumarrah@teleworm.us
1551,female,Piper,Nanya,"2 Vanderbilt Parade","Sunset North",0632,PiperNanya@armyspy.com
1552,female,Charli,Farran-Ridge,"117 West Street",Dinsdale,3204,CharliFarran-Ridge@jourrapide.com
1553,female,Mackenzie,Wickens,"44 Hayton Lane",Ferndale,4310,MackenzieWickens@einrot.com
1554,male,Owen,Leibius,"175 Burnside Street",Waterloo,5011,OwenLeibius@gustr.com
1555,male,Jasper,Wardle,"90 Meachen Street",Normandale,5010,JasperWardle@fleckens.hu
1556,male,Mitchell,Margaret,"69 Mapplebeck Street","Titahi Bay",5022,MitchellMargaret@teleworm.us
1557,male,Aiden,Purton,"65 Alanbrooke Place",Highbury,6012,AidenPurton@cuvox.de
1558,male,Nate,Archibald,"95 Paulange Place","Pakuranga Heights",2010,NateArchibald@einrot.com
1559,male,Joel,Baylebridge,"131 Lysaght Street","Maori Park",7910,JoelBaylebridge@einrot.com
1560,male,Declan,Vogel,"150 Wallace Street",Kamo,0112,DeclanVogel@armyspy.com
1561,female,Gabrielle,Neales,"217 Aytoun Street","Lawyers Head",9013,GabrielleNeales@jourrapide.com
1562,female,Makayla,Cambridge,"25 Hector Street",Bradford,9011,MakaylaCambridge@armyspy.com
1563,female,Jessica,Garran,"238 Galway Street",Annesbrook,7011,JessicaGarran@rhyta.com
1564,female,Skye,Dendy,"244 Ridout Street",Beerescourt,3200,SkyeDendy@jourrapide.com
1565,male,Samuel,Laura,"212 Anaru Street",Paraparaumu,5032,SamuelLaura@gustr.com
1566,female,Mariam,Scutt,"49 Waterside Close",Horahora,0110,MariamScutt@rhyta.com
1567,male,Hudson,Phillipps,"6 Woodridge Drive",Johnsonville,6037,HudsonPhillipps@superrito.com
1568,female,Lucinda,Glasgow,"241 Dunblane Street",Dalmore,9010,LucindaGlasgow@fleckens.hu
1569,male,Blake,Tindale,"3 Acacia Drive",Horahora,0110,BlakeTindale@jourrapide.com
1570,female,Rachel,Neumayer,"218 Collingwood Lane",Frankton,3204,RachelNeumayer@superrito.com
1571,male,Flynn,McEwen,"111 Castleview Lane","St Martins",8022,FlynnMcEwen@teleworm.us
1572,male,Matthew,Bladen,"245 Tempo Place",Torbay,0630,MatthewBladen@einrot.com
1573,female,Lily,White-Haney,"188 Sapphire Place",Harrowfield,3210,LilyWhite-Haney@einrot.com
1574,female,Tayla,Whitford,"215 Wilkie Street","Kowhai Park",4500,TaylaWhitford@cuvox.de
1575,female,Claudia,Babbage,"54 Burnett Street",Oxford,7430,ClaudiaBabbage@dayrep.com
1576,male,Ali,Cyril,"228 Massey Street","Hastings Central",4122,AliCyril@jourrapide.com
1577,female,Isabella,Hall,"37 Tawa Street","West End",7910,IsabellaHall@fleckens.hu
1578,male,Ali,Winning,"103 Leven Close",Brookfield,3110,AliWinning@gustr.com
1579,female,Brooke,Wynter,"6 El Viso Place",Kamo,0112,BrookeWynter@armyspy.com
1580,female,Tahlia,Emmett,"237 Brydone Street",Edendale,9825,TahliaEmmett@gustr.com
1581,male,Michael,Pelzer,"134 Seddon Street","Wanganui Central",4500,MichaelPelzer@superrito.com
1582,female,Lilly,Kauper,"42 Fovant Street","Hornby South",8042,LillyKauper@teleworm.us
1583,female,Jasmine,Lennox,"71 Dorchester Street",Meadowbank,1072,JasmineLennox@dayrep.com
1584,male,Owen,Hardman,"149 Moutoa Quay","Kowhai Park",4500,OwenHardman@gustr.com
1585,female,Evie,Kauffmann,"223 Hacche Road",Awapuni,4010,EvieKauffmann@gustr.com
1586,female,Ellie,Conacher,"60 Calliope Crescent",Aotea,5024,EllieConacher@rhyta.com
1587,female,Rose,Sheahan,"27 Scandrett Street","Motu Rimu",9812,RoseSheahan@fleckens.hu
1588,female,Charlotte,Ramsay,"162 Domett Avenue","Royal Oak",1023,CharlotteRamsay@gustr.com
1589,female,Tayla,Louise,"191 Kenmore Street",Newlands,6037,TaylaLouise@gustr.com
1590,female,Alana,Unaipon,"219 Harbour Bridge Causeway",Matapihi,3110,AlanaUnaipon@gustr.com
1591,male,Jack,Byron,"97 Tawa Drive",Pinehill,0632,JackByron@superrito.com
1592,female,Ebony,Holloway,"104 West Grove",Maungaraki,5010,EbonyHolloway@armyspy.com
1593,male,Sebastian,Oster,"113 Cardigan Street",Normanby,9010,SebastianOster@armyspy.com
1594,male,Charlie,McLaughlin,"139 Arnst Place",Wainoni,8061,CharlieMcLaughlin@cuvox.de
1595,female,Rachel,Strempel,"85 Lauder Place",Tisbury,9812,RachelStrempel@armyspy.com
1596,male,Samuel,Gilbert,"185 Montreal Grove",Kingston,6021,SamuelGilbert@superrito.com
1597,male,Patrick,Kashiwagi,"77 Lurgan Drive",Burswood,2013,PatrickKashiwagi@superrito.com
1598,female,Olivia,Horgan,"61 Memorial Drive","Hamilton East",3216,OliviaHorgan@cuvox.de
1599,male,James,Reeve,"85 Ranui Street",Frankton,3204,JamesReeve@fleckens.hu
1600,male,Flynn,Eagar,"107 Queens Drive","Dunedin North",9016,FlynnEagar@fleckens.hu
1601,female,Holly,Drake,"249 Parnell Street",Epuni,5011,HollyDrake@armyspy.com
1602,female,Jasmine,Anthony,"148 Oldham Avenue",Onekawa,4110,JasmineAnthony@fleckens.hu
1603,male,Ali,O'Dowd,"87 Nuku Street",Seatoun,6022,AliODowd@einrot.com
1604,female,Keira,Gow,"6 Thackeray Street",Dinsdale,3204,KeiraGow@gustr.com
1605,male,Jasper,Kranewitter,"86 Leonard Place",Raumanga,0110,JasperKranewitter@jourrapide.com
1606,female,Bianca,Bellingshausen,"238 Ettrick Lane","Red Hill",2110,BiancaBellingshausen@armyspy.com
1607,female,Makayla,Rennie,"215 Spring Road",Seaview,7910,MakaylaRennie@teleworm.us
1608,female,Mia,Wilder-Neligan,"21 Melrose Road",Tinwald,7700,MiaWilder-Neligan@teleworm.us
1609,male,Anthony,Wiseman,"20 Dove Place","Holmes Hill",9401,AnthonyWiseman@armyspy.com
1610,male,Thomas,Parker,"152 Wolsley Avenue","Castor Bay",0620,ThomasParker@jourrapide.com
1611,male,Joshua,Idriess,"96 The Bay Hill","Timaru Central",7910,JoshuaIdriess@einrot.com
1612,male,Jett,Bardon,"137 Schoolhouse Bay Road","Kawau Island",0920,JettBardon@fleckens.hu
1613,female,Rachel,Brigden,"191 Silverbirch Grove",Beachville,7010,RachelBrigden@jourrapide.com
1614,male,Christian,Wolff,"185 Kapua Street",Panmure,1072,ChristianWolff@einrot.com
1615,male,Toby,Heap,"102 O'Donoghue Street",Hillcrest,3216,TobyHeap@gustr.com
1616,female,Taylah,Morrow,"210 Oxford Street",Atawhai,7010,TaylahMorrow@rhyta.com
1617,male,Connor,Forwood,"4 Christopher Lane",Greerton,3112,ConnorForwood@dayrep.com
1618,male,Aidan,Pigot,"199 Drury Lane","Harbour View",5010,AidanPigot@armyspy.com
1619,female,Bella,Jasprizza,"28 Tete Street","Selwyn Heights",3015,BellaJasprizza@einrot.com
1620,male,Ryder,White,"63 Wall Street","Acacia Bay",3330,RyderWhite@superrito.com
1621,male,Henry,Butt,"90 Cook Street",Greerton,3112,HenryButt@armyspy.com
1622,female,Tahlia,Arkwookerum,"4 Ferguson Street",Favona,2024,TahliaArkwookerum@rhyta.com
1623,female,Elizabeth,Ramsden,"157 Armour Road",Nihotupu,0604,ElizabethRamsden@einrot.com
1624,female,Abigail,Lyster,"135 Hutcheson Street",Mayfield,7201,AbigailLyster@superrito.com
1625,female,Lucinda,"Ah Mouy","220 Arklow Lane","Arkles Bay",0932,LucindaAhMouy@rhyta.com
1626,female,Sienna,Starling,"128 Bridgeway","Port Whangarei",0110,SiennaStarling@fleckens.hu
1627,female,Rose,Govett,"148 Bill Hercock Street",Tamatea,4112,RoseGovett@dayrep.com
1628,female,Evie,Sawers,"14 Anita Grove",Matokitoki,4010,EvieSawers@cuvox.de
1629,male,Jayden,Bremer,"118 Seddon Street","Wanganui Central",4500,JaydenBremer@armyspy.com
1630,male,Nicholas,Fizelle,"165 Alderbury Way",Ranui,0612,NicholasFizelle@gustr.com
1631,male,Blake,Penton,"64 Fleming Drive",Leeston,7632,BlakePenton@einrot.com
1632,female,Emily,Ligar,"134 Hinau Street","Lower Hutt Central",5010,EmilyLigar@dayrep.com
1633,male,Sean,Maxted,"217 Orca Lane","New Brighton",8083,SeanMaxted@jourrapide.com
1634,female,Alana,Goldsbrough,"80 Puriri Avenue","Hatfields Beach",0931,AlanaGoldsbrough@dayrep.com
1635,male,Declan,Quinlivan,"14 Adelphi Terrace","South Bay",7300,DeclanQuinlivan@dayrep.com
1636,female,Sophia,Egan,"161 Edgecumbe Way",Bellevue,3110,SophiaEgan@gustr.com
1637,male,Charles,Hides,"118 Florance Place",Brooklands,8083,CharlesHides@rhyta.com
1638,male,Riley,Edmund,"155 Wilfred Street",Beerescourt,3200,RileyEdmund@fleckens.hu
1639,female,Lola,Leal,"215 Tothill Street",Spotswood,4310,LolaLeal@armyspy.com
1640,male,Charles,Cronin,"121 Commonage Road",Waianakarua,9410,CharlesCronin@einrot.com
1641,female,Natasha,Venn,"221 Resolution Road","Tauranga South",3112,NatashaVenn@teleworm.us
1642,male,Caleb,Masters,"42 Welbourn Terrace","Lower Vogeltown",4310,CalebMasters@fleckens.hu
1643,male,Matthew,Berry,"72 Rata Vine Drive",Wiri,2104,MatthewBerry@dayrep.com
1644,female,Isabella,Loughlin,"203 Dumbarton Place",Newfield,9812,IsabellaLoughlin@einrot.com
1645,female,Ellie,Webster,"123 Taupiri Crescent",Elsdon,5022,EllieWebster@jourrapide.com
1646,male,Brayden,Brazenor,"211 Henderson Avenue",Tuakau,2121,BraydenBrazenor@cuvox.de
1647,female,Keira,Cosgrove,"128 Cambridge Road",Matua,3110,KeiraCosgrove@fleckens.hu
1648,male,Koby,Pelsaert,"216 Ronaki Road",Glendowie,1071,KobyPelsaert@rhyta.com
1649,male,Adam,Nixon,"59 Duggan Avenue","Mangere South",2022,AdamNixon@gustr.com
1650,male,Brock,Tivey,"70 Simpson Street",Motueka,7120,BrockTivey@gustr.com
1651,female,Angelina,Higinbotham,"40 Campion Road",Tamarau,4010,AngelinaHiginbotham@gustr.com
1652,male,Mitchell,O'Connell,"162 Alpine View Lane",Parklands,8083,MitchellOConnell@fleckens.hu
1653,male,George,Lamond,"226 Emerson Place",Fairfield,3214,GeorgeLamond@dayrep.com
1654,male,Max,Frederick,"184 Fenton Crescent",Kew,9012,MaxFrederick@rhyta.com
1655,female,Anna,Blamey,"85 Harborough Street",Washdyke,7910,AnnaBlamey@cuvox.de
1656,male,Finn,Mills,"54 Chapman Street",Glengarry,9810,FinnMills@armyspy.com
1657,female,Claudia,Nicholls,"48 Awatere Avenue",Rotokauri,3200,ClaudiaNicholls@superrito.com
1658,male,Flynn,Lyon,"47 Greenslade Way",Wakatu,7011,FlynnLyon@teleworm.us
1659,female,Lily,Lampungmeiua,"182 John Street",Raumanga,0110,LilyLampungmeiua@armyspy.com
1660,male,Caleb,Builder,"146 Garcia Place","Herald Island",0618,CalebBuilder@armyspy.com
1661,female,Claire,Horniman,"22 Sharyn Place",Tauriko,3110,ClaireHorniman@fleckens.hu
1662,female,Rebecca,Weeks,"237 Lindisfarne Street",Kew,9812,RebeccaWeeks@einrot.com
1663,male,Jesse,Schneider,"119 Kowhai Street",Coastlands,3120,JesseSchneider@superrito.com
1664,male,Dean,Jowett,"169 Kilgour Street",Glenleith,9010,DeanJowett@dayrep.com
1665,female,Olivia,Agnes,"147 Minto Street",Tainui,9013,OliviaAgnes@einrot.com
1666,female,Ashley,Andronicus,"194 Northwood Avenue",Mahora,4120,AshleyAndronicus@superrito.com
1667,male,Liam,Seymour-Symers,"168 Gortin Close",Golflands,2013,LiamSeymour-Symers@dayrep.com
1668,male,Liam,Prendergast,"171 Yarrow Street",Waihopai,9810,LiamPrendergast@rhyta.com
1669,male,Hugo,Seekamp,"165 Granville Street",Trentham,5018,HugoSeekamp@fleckens.hu
1670,female,Eve,Crist,"186 Kahiwi Street",Avenues,0110,EveCrist@gustr.com
1671,female,Makayla,Marlay,"91 Tirangi Road",Kelson,5010,MakaylaMarlay@jourrapide.com
1672,male,Cameron,Cass,"84 Tombane Terrace",Whitby,5024,CameronCass@dayrep.com
1673,male,Riley,Perrett,"5 Puketahi Street",Hohonu,7805,RileyPerrett@armyspy.com
1674,female,Lauren,Herman,"64 Hunt Street","Turnbull Thomson",9810,LaurenHerman@rhyta.com
1675,male,Brock,Henley,"114 Freeman Close",Burnside,9018,BrockHenley@fleckens.hu
1676,female,Imogen,Forsyth,"162 East Street","Red Hill",2110,ImogenForsyth@superrito.com
1677,male,Dominic,Melville,"168 Hinemoa Street",Okoia,4500,DominicMelville@cuvox.de
1678,female,Madeleine,Penfold,"159 Tukapa Street","New Plymouth Central",4310,MadeleinePenfold@armyspy.com
1679,male,Patrick,Down,"63 Hinton Avenue",Beerescourt,3200,PatrickDown@jourrapide.com
1680,female,Alica,Nugan,"196 Coughtrey Street","Saint Clair",9012,AlicaNugan@armyspy.com
1681,male,Rory,Roe,"64 Atirau Road",Turangi,3334,RoryRoe@jourrapide.com
1682,female,Sofia,Baume,"29 Moller Lane",Brooklands,4310,SofiaBaume@fleckens.hu
1683,male,Nate,Addis,"212 Kay Road",Panmure,1072,NateAddis@einrot.com
1684,female,Molly,Hirschfeld,"206 Rotoiti Street",Johnsonville,6037,MollyHirschfeld@einrot.com
1685,male,Ryan,Bonney,"36 Ranfurly Street",Jervoistown,4112,RyanBonney@superrito.com
1686,female,Claudia,Furphy,"160 Yee Place","Mt Wellington",1060,ClaudiaFurphy@gustr.com
1687,male,Joel,Conybeare,"191 Easton Street",Dannevirke,4930,JoelConybeare@fleckens.hu
1688,male,Joshua,Morant,"59 Eagle Street",Highbury,6012,JoshuaMorant@jourrapide.com
1689,male,Thomas,Case,"114 Chalmers Street",Avonhead,8042,ThomasCase@jourrapide.com
1690,male,Cody,Bauer,"119 Fred Judd Crescent",Maraetotara,3120,CodyBauer@armyspy.com
1691,female,Imogen,Snider,"117 Federal Street","Mechanics Bay",1010,ImogenSnider@fleckens.hu
1692,male,Dylan,Cowie,"157 Barclay Street","Lower Vogeltown",4310,DylanCowie@fleckens.hu
1693,female,Bethany,Mundy,"131 Karaka Street",Ngongotaha,3010,BethanyMundy@dayrep.com
1694,male,Edward,Sulman,"85 Taiping Terrace",Linton,4820,EdwardSulman@jourrapide.com
1695,female,Jasmine,Lillie,"5 Tauiwi Crescent",Hornby,8042,JasmineLillie@cuvox.de
1696,female,Jessica,Napier,"167 Adrigole Close",Burswood,2013,JessicaNapier@cuvox.de
1697,female,Ella,Huddart,"136 Seymour Street",Waikawa,7220,EllaHuddart@gustr.com
1698,male,Henry,McCallum,"114 Rugby Street",Appleby,9812,HenryMcCallum@teleworm.us
1699,male,Jake,Stradbroke,"159 Bank Street","Maori Hill",9010,JakeStradbroke@einrot.com
1700,male,Ashton,MacCarthy,"162 Duncraig Street",Waihopai,9810,AshtonMacCarthy@superrito.com
1701,male,Will,Ginn,"66 Lyndfield Lane",Glenside,6037,WillGinn@teleworm.us
1702,female,Isabel,Windradyne,"225 Allen Street","Wither Hills Park",7201,IsabelWindradyne@dayrep.com
1703,female,Ava,Kennedy,"154 Cambridge Street",Parahaki,0112,AvaKennedy@rhyta.com
1704,male,Austin,Rolleston,"122 Kauri Loop Road",Huia,0604,AustinRolleston@rhyta.com
1705,male,Christopher,Hugo,"103 Howe Street New",Brooklands,8083,ChristopherHugo@gustr.com
1706,female,Hannah,Pierce,"226 Carlinka Place",Takanini,2112,HannahPierce@superrito.com
1707,male,Connor,Trefl,"83 Ariesdale Terrace",Stepheyville,7010,ConnorTrefl@gustr.com
1708,female,Amelie,Salting,"79 Brookview Court",Chartwell,3210,AmelieSalting@dayrep.com
1709,male,Ali,Brigden,"231 Wedgwood Place",Whakatane,3120,AliBrigden@teleworm.us
1710,male,Aidan,McLachlan,"206 Rutherford Drive","Waikanae Park",5036,AidanMcLachlan@superrito.com
1711,female,Abigail,Edge,"145 City View Terrace",Chatswood,0626,AbigailEdge@fleckens.hu
1712,male,Ethan,Lihou,"40 Providence Place",Belfast,8051,EthanLihou@gustr.com
1713,male,Dominic,Laidler,"31 McCahon Drive",Hillcrest,3015,DominicLaidler@rhyta.com
1714,female,Ella,Brockman,"22 Bunny Street","Te Aro",6011,EllaBrockman@cuvox.de
1715,male,Max,Larra,"31 Page Street","Pyes Pa",3112,MaxLarra@superrito.com
1716,male,Jack,Biraban,"180 Fitzpatrick Street",Newlands,6037,JackBiraban@dayrep.com
1717,female,Madeline,Keating,"174 Butia Avenue","Henderson Valley",0612,MadelineKeating@gustr.com
1718,male,Hudson,Badham,"17 Kelly Road",Cambridge,3434,HudsonBadham@teleworm.us
1719,male,Jordan,"Le Souef","182 Northview Lane",Beerescourt,3200,JordanLeSouef@einrot.com
1720,male,Jett,Merlin,"5 Norwood Street","Pine Hill",9010,JettMerlin@jourrapide.com
1721,female,Claudia,Sneddon,"102 Pampas Place","Te Rapa Park",3200,ClaudiaSneddon@fleckens.hu
1722,male,Jake,Gatenby,"215 Dolphin Street",Dalmore,9010,JakeGatenby@superrito.com
1723,female,Bella,Melba,"226 Tewsley Street","Dunedin Central",9016,BellaMelba@teleworm.us
1724,male,Cody,Peck,"133 Kim Lane",Whitiora,3200,CodyPeck@einrot.com
1725,female,Skye,Hardie,"96 Windsor Close",Elderslea,5018,SkyeHardie@gustr.com
1726,male,Jett,Dransfield,"12 Peach Road",Totaravale,0629,JettDransfield@fleckens.hu
1727,male,Jesse,Glasgow,"21 Lonsdale Street",Glenross,9011,JesseGlasgow@gustr.com
1728,female,Sophie,Coles,"87 Currys Lane",Hillcrest,0627,SophieColes@einrot.com
1729,male,Rory,Cleland,"95 Ferrier Place",Tinwald,7700,RoryCleland@armyspy.com
1730,male,Seth,Watson,"113 Braemar Avenue","Coopers Beach",0420,SethWatson@armyspy.com
1731,female,Kaitlyn,Fenston,"86 Glencairn Street",Dalmore,9010,KaitlynFenston@einrot.com
1732,male,Christian,Hoff,"159 Stratford Avenue",Sunnynook,0620,ChristianHoff@gustr.com
1733,female,Savannah,Delany,"108 Baxter Street",Helensburgh,9010,SavannahDelany@superrito.com
1734,female,Caitlyn,Lane,"108 Earn Street","South Hill",9400,CaitlynLane@cuvox.de
1735,female,Ella,Gale,"185 Guinane Street",Dannevirke,4930,EllaGale@armyspy.com
1736,female,Isabel,Hanna,"83 Monro Way","Washington Valley",7010,IsabelHanna@einrot.com
1737,female,Hayley,Chauvel,"82 Kotuku Street",Horahora,0110,HayleyChauvel@cuvox.de
1738,female,Charli,Bayles,"199 Troy Place","St Heliers",1071,CharliBayles@teleworm.us
1739,male,Callum,McKean,"126 Ray Emery Drive",Mangere,2022,CallumMcKean@jourrapide.com
1740,female,Kayla,Walch,"140 Nicoll Street",Witherlea,7201,KaylaWalch@einrot.com
1741,male,Brodie,Musgrove,"162 Kirby Street",Waiatarua,0612,BrodieMusgrove@gustr.com
1742,female,Jessica,Nixon,"174 Ludstone Road","Kaikoura Peninsula",7300,JessicaNixon@einrot.com
1743,female,Molly,Unaipon,"101 Friesian Place",Maeroa,3200,MollyUnaipon@teleworm.us
1744,female,Katie,Meston,"48 Rewarewa Street",Lynmore,3010,KatieMeston@dayrep.com
1745,male,Jordan,Lovett,"25 Nile Street East",Maitai,7010,JordanLovett@armyspy.com
1746,female,Layla,Parrott,"237 Kingham Place",Islington,8042,LaylaParrott@jourrapide.com
1747,female,Audrey,Castles,"215 Tui Place","West Harbour",0618,AudreyCastles@armyspy.com
1748,female,Stella,Brodney,"152 Mowbray Street",Highfield,7910,StellaBrodney@jourrapide.com
1749,female,Alica,Eggers,"10 Kirk Street",Waiuku,2123,AlicaEggers@dayrep.com
1750,female,Holly,Storkey,"250 Hua Street",Merrilands,4312,HollyStorkey@jourrapide.com
1751,female,Gabrielle,Kemp,"166 Teasdale Street","Te Awamutu",3800,GabrielleKemp@jourrapide.com
1752,female,Hayley,Fullerton,"142 Gallagher Drive",Glenview,3206,HayleyFullerton@gustr.com
1753,female,Mackenzie,Bock,"57 Oswald Street",Mangapapa,4010,MackenzieBock@cuvox.de
1754,male,Callum,Hagenauer,"211 Yale Place",Paremoremo,0632,CallumHagenauer@jourrapide.com
1755,male,Elijah,Nott,"227 Gadd Road","South Beach",7805,ElijahNott@dayrep.com
1756,female,Stephanie,Szabados,"160 Alana Street",Witherlea,7201,StephanieSzabados@gustr.com
1757,male,Thomas,Jefferies,"9 Douglas Street","Waitarere Beach",5510,ThomasJefferies@superrito.com
1758,female,Ashley,Rankin,"99 Cadiz Lane","Mt Pleasant",8081,AshleyRankin@superrito.com
1759,female,Kiara,Hutchins,"100 Trimaran Drive","Army Bay",0930,KiaraHutchins@superrito.com
1760,male,Cameron,Ridley,"114 Matua Way",Matua,3110,CameronRidley@cuvox.de
1761,female,Summer,Chubb,"116 Moorgreen Heights","Mairangi Bay",0630,SummerChubb@rhyta.com
1762,male,Jai,Drennan,"66 Kinross White Street",Westshore,4110,JaiDrennan@jourrapide.com
1763,male,Edward,Douglas,"185 Pounamu Avenue",Rosedale,0632,EdwardDouglas@superrito.com
1764,female,Tayla,Lambrick,"183 Charles Street",Richmond,9810,TaylaLambrick@einrot.com
1765,male,Max,Horrocks,"177 Ohau Drive",Avonhead,8042,MaxHorrocks@einrot.com
1766,female,Bethany,Harrhy,"164 Scanlan Street",Avalon,5011,BethanyHarrhy@rhyta.com
1767,male,Hugo,Chalmers,"147 Potomaru Street","Belmont Regional Park",5010,HugoChalmers@einrot.com
1768,female,Sophia,Rodway,"3 Hutt Park Road",Kelson,5010,SophiaRodway@dayrep.com
1769,female,Angelina,Holtze,"171 Seaview Terrace","Timaru Port",7910,AngelinaHoltze@einrot.com
